Date,Close,High,Low,Open,Volume
,MKR-USD,MKR-USD,MKR-USD,MKR-USD,MKR-USD
2022-10-17,1090.247314453125,1111.53662109375,980.82421875,999.6888427734375,95860778
2022-10-18,1104.0032958984375,1113.297607421875,1065.72119140625,1090.5162353515625,73921273
2022-10-19,1091.3162841796875,1144.938720703125,1077.475341796875,1103.9989013671875,85894564
2022-10-20,1051.226318359375,1091.1561279296875,1029.1827392578125,1091.1561279296875,65965566
2022-10-21,1015.6993408203125,1060.4832763671875,1009.925048828125,1051.256103515625,46795154
2022-10-22,996.7363891601562,1036.1007080078125,987.7249145507812,1015.6453857421875,35174897
2022-10-23,978.6962890625,1002.2332763671875,934.0220947265625,996.6856079101562,41951078
2022-10-24,926.7763671875,983.1475830078125,915.6458740234375,978.6903686523438,47355017
2022-10-25,945.8887939453125,968.368896484375,919.4949951171875,926.9453735351562,44127707
2022-10-26,937.1165161132812,976.3744506835938,932.0719604492188,945.5741577148438,49356176
2022-10-27,905.6624755859375,964.7584838867188,900.5306396484375,937.1151123046875,52040151
2022-10-28,900.0808715820312,910.1490478515625,878.9374389648438,905.6057739257812,42593690
2022-10-29,916.0848388671875,927.636962890625,897.1549072265625,900.0696411132812,37549750
2022-10-30,909.8133544921875,925.0321044921875,898.162353515625,916.06982421875,27151559
2022-10-31,899.2866821289062,921.6068115234375,894.7100830078125,909.7211303710938,29067269
2022-11-01,881.1026000976562,902.9404907226562,878.1697387695312,899.2216186523438,25174734
2022-11-02,835.5037231445312,886.7926635742188,828.1341552734375,881.0901489257812,38768719
2022-11-03,847.4033203125,876.120361328125,835.54345703125,835.54345703125,32737074
2022-11-04,914.4552001953125,914.9927978515625,844.2605590820312,847.3153076171875,34469304
2022-11-05,897.9317626953125,921.1016845703125,897.9317626953125,914.3961791992188,27614891
2022-11-06,840.1747436523438,911.7993774414062,837.977294921875,897.8794555664062,34703191
2022-11-07,831.2213745117188,850.0316772460938,821.7721557617188,840.2855834960938,33384907
2022-11-08,711.1828002929688,834.2154541015625,649.6595458984375,830.993896484375,75826521
2022-11-09,671.5282592773438,723.9557495117188,645.1505126953125,711.25732421875,69805944
2022-11-10,882.3718872070312,895.1287841796875,665.3405151367188,671.3192749023438,93226856
2022-11-11,780.2360229492188,884.0401611328125,757.2472534179688,882.2479858398438,60811955
2022-11-12,698.56884765625,780.8541259765625,693.2213745117188,780.2992553710938,35814148
2022-11-13,676.7605590820312,728.6953125,672.6908569335938,698.475830078125,27647580
2022-11-14,696.3040771484375,705.96630859375,655.9995727539062,676.5863647460938,32491341
2022-11-15,707.4132690429688,722.6687622070312,691.9054565429688,696.2998657226562,19932447
2022-11-16,660.9922485351562,711.8882446289062,657.6131591796875,707.451416015625,24381454
2022-11-17,651.8402709960938,669.359375,651.7846069335938,659.9351196289062,25205366
2022-11-18,656.7251586914062,664.048583984375,649.2256469726562,651.8748779296875,24317682
2022-11-19,682.3170166015625,684.3671875,649.3773803710938,656.7442016601562,19394591
2022-11-20,658.7745971679688,682.374267578125,648.45458984375,682.342529296875,20813268
2022-11-21,635.4002685546875,658.7158203125,617.3193359375,658.7158203125,27149369
2022-11-22,649.0612182617188,668.730712890625,621.9004516601562,635.267578125,24811948
2022-11-23,663.594970703125,666.4417114257812,647.563232421875,649.10205078125,26899118
2022-11-24,661.2638549804688,675.016845703125,655.93212890625,663.6287841796875,19931739
2022-11-25,644.920166015625,661.1304931640625,634.168212890625,661.1304931640625,22094664
2022-11-26,640.2545166015625,655.7490234375,639.2073974609375,644.9530029296875,23768227
2022-11-27,640.1231079101562,657.1895141601562,639.8954467773438,640.21142578125,27976842
2022-11-28,645.8034057617188,662.8267211914062,620.2244262695312,639.9967041015625,23890933
2022-11-29,646.9882202148438,657.8552856445312,643.2460327148438,645.7985229492188,20727162
2022-11-30,661.37353515625,664.5935668945312,646.1207885742188,647.012451171875,23740631
2022-12-01,646.390625,661.8121948242188,645.292724609375,661.3441772460938,18177927
2022-12-02,646.6643676757812,650.2852783203125,641.5660400390625,646.5062255859375,27346978
2022-12-03,640.8148193359375,648.2789306640625,639.0804443359375,646.6660766601562,14746330
